NODE,AkcanSa,Al Sabaa Chekka Cement Plant,Alicante,Ancona,Ashdod,Augusta,Banghazi,Botas,Bur Sa'id,Casalborsetti,Civitavecchia,Crotone,Darnah,Egyptian LNG Terminal,Fos,FÁBRICA DE CARBONERAS (LAFARGEHOLCIM ESPAÑA SAU),Genova,"HERACLES G.C.Co, VOLOS PLANT",Isdemir Payas steel plant,Izmir,Kavala,Khoms,Koromacno,Kusadasi,Libyan Iron and Steel Misrata plant,Malaga,Megara Oil Terminal,Mersin,Monfalcone,Napoli,Nemrut Limani Bay,Palma De Mallorca,Port-La-Nouvelle,Porto Di Barletta,Porto Di Lido-Venezia,Porto Di Palermo,Porto Romano,Pozzallo,Sagunto,Sibenik,TITAN CEMENT S.A. - DREPANO PLANT,Taranto,Tarragona,Tartus,Tasucu,Thessaloniki,Toulon,Trieste,"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant"
Porto Di Barletta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.8807,588.1025,0.0,471.8964,0.0,1773.7557,0.0,0.0,0.0,0.0,0.0,0.0,1286.3117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.3948,0.0,0.0,2054.2169,0.0,0.0,0.0,0.0,0.0,0.0
Porto Di Lido-Venezia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427.3521,143.0799,0.0,1000.3678,0.0,2302.227,0.0,0.0,0.0,0.0,0.0,0.0,1814.7831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.4252,0.0,0.0,2582.6883,0.0,0.0,0.0,0.0,0.0,0.0
Porto Di Palermo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0967,1404.3425,0.0,504.5344,0.0,1851.4697,0.0,0.0,0.0,0.0,0.0,0.0,1492.9267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182.7568,0.0,0.0,1150.0269,0.0,0.0,0.0,0.0,0.0,0.0
Porto Romano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.1126,714.6964,0.0,345.5563,0.0,1647.4156,0.0,0.0,0.0,0.0,0.0,0.0,1153.5436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.1357,0.0,0.0,1927.8768,0.0,0.0,0.0,0.0,0.0,0.0
Pozzallo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0278,1314.6136,0.0,414.8054,0.0,1592.4007,0.0,0.0,0.0,0.0,0.0,0.0,1364.9778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0279,0.0,0.0,1380.516,0.0,0.0,0.0,0.0,0.0,0.0
Sagunto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.7703,2590.628,0.0,1690.8199,0.0,2937.7162,0.0,0.0,0.0,0.0,0.0,0.0,2679.2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.0424,0.0,0.0,230.1725,0.0,0.0,0.0,0.0,0.0,0.0
Sibenik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TITAN CEMENT S.A. - DREPANO PLANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.3164,1097.9342,0.0,522.8041,0.0,1163.4604,0.0,0.0,0.0,0.0,0.0,0.0,660.7474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.3486,0.0,0.0,1954.4237,0.0,0.0,0.0,0.0,0.0,0.0
Taranto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.9766,944.1224,0.0,172.2973,0.0,1665.1246,0.0,0.0,0.0,0.0,0.0,0.0,1183.4076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.5368,0.0,0.0,1770.2028,0.0,0.0,0.0,0.0,0.0,0.0
Tarragona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tartus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.093,2460.3648,0.0,1885.2346,0.0,761.3329,0.0,0.0,0.0,0.0,0.0,0.0,1396.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.7791,0.0,0.0,3237.8962,0.0,0.0,0.0,0.0,0.0,0.0
Tasucu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.8909,2252.1287,0.0,1676.9986,0.0,682.0039,0.0,0.0,0.0,0.0,0.0,0.0,1188.5359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.543,0.0,0.0,3058.7481,0.0,0.0,0.0,0.0,0.0,0.0
Thessaloniki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.3989,1721.9647,0.0,1146.8346,0.0,1310.0339,0.0,0.0,0.0,0.0,0.0,0.0,311.8599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.3791,0.0,0.0,2578.4542,0.0,0.0,0.0,0.0,0.0,0.0
Toulon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778.2025,2174.4483,0.0,1274.6402,0.0,2621.5754,0.0,0.0,0.0,0.0,0.0,0.0,2263.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.8626,0.0,0.0,498.2577,0.0,0.0,0.0,0.0,0.0,0.0
Trieste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443.1445,191.9253,0.0,1016.1602,0.0,2318.0195,0.0,0.0,0.0,0.0,0.0,0.0,1830.5755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.2176,0.0,0.0,2598.4807,0.0,0.0,0.0,0.0,0.0,0.0
"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0954,2257.1841,0.0,1682.054,0.0,575.0713,0.0,0.0,0.0,0.0,0.0,0.0,1193.5913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.5985,0.0,0.0,3034.7156,0.0,0.0,0.0,0.0,0.0,0.0
