pollutantCode,Facility_INSPIRE_ID,parentCompanyName,nameOfFeature,countryCode,NUTSRegionSourceCode,NUTSRegionSourceName,city,pointGeometryLat,pointGeometryLon,mainActivityCode,mainActivityName,reportingYear,totalPollutantQuantityKg,methodCode,methodName,rn,emissions_tco2,geometry
CO2,IT.CAED/900181001.FACILITY,Enel Produzione S.p.A.,Power Plant South - Impianto di Termini Imerese - Centrale Ettore Majorana,IT,ITG12,Palermo,TERMINI IMERESE,37.9691,13.7483,1(c),Thermal power stations and other combustion installations,2023,1299513320,C,Calculated: calculation method used,1,1299513.32,POINT (13.7483 37.9691)
CO2,IT.CAED/900402001.FACILITY,Italcementi SpA,Italcementi di Isola delle Femmine,IT,ITG12,Palermo,ISOLA DELLE FEMMINE,38.190833,13.2503,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,263673000,C,Calculated: calculation method used,1,263673,POINT (13.2503 38.190833)
CO2,IT.CAED/040111001.FACILITY,Sorgenia Power S.p.A.,CENTRALE A CICLO COMBINATO DI APRILIA,IT,ITI44,Latina,APRILIA,41.5494,12.6308,1(c),Thermal power stations and other combustion installations,2023,436978906.1,C,Calculated: calculation method used,1,436978.9061,POINT (12.6308 41.5494)
CO2,IT.CAED/000342001.FACILITY,Heidelberg Materials Italia Cementi S.p.A. (ex ITALCEMENTI SPA),Heidelberg Materials Italia Cementi S.p.A. (ex ITALCEMENTI SPA),IT,ITI43,Roma,COLLEFERRO,41.7367,13.0042,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,326434000,C,Calculated: calculation method used,1,326434,POINT (13.0042 41.7367)
CO2,IT.CAED/000122001.FACILITY,BUZZI UNICEM s.r.l.,CEMENTERIA DI GUIDONIA,IT,ITI43,Roma,GUIDONIA MONTECELIO,42.0001,12.7167,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,383770349,C,Calculated: calculation method used,1,383770.349,POINT (12.7167 42.0001)
CO2,IT.CAED/010351001.FACILITY,SNAM Rete Gas,Centrale compressione gas di Gallese,IT,ITI41,Viterbo,GALLESE,42.3621,12.4432,1(c),Thermal power stations and other combustion installations,2023,102855000,C,Calculated: calculation method used,1,102855,POINT (12.4432 42.3621)
CO2,IT.CAED/670123158.FACILITY,ITALSACCI S.p.A.,ITALSACCI S.p.A.,IT,ITF11,L’Aquila,Cagnano Amiterno,42.463755,13.258717,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,173950000,C,Calculated: calculation method used,1,173950,POINT (13.258717 42.463755)
CO2,IT.CAED/050352007.FACILITY,UNICALCE S.P.A.,STABILIMENTO DI SAN PELLEGRINO,IT,ITI22,Terni,NARNI,42.539722,12.487222,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,159502000,C,Calculated: calculation method used,1,159502,POINT (12.487222 42.539722)
CO2,IT.CAED/051002003.FACILITY,ACEA AMBIENTE Srl,ACEA AMBIENTE Srl UL1_Impianto di Termovalorizzazione,IT,ITI22,Terni,TERNI,42.5806,12.6615,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,107784743.7,M,Measured: analytical method used,1,107784.7437,POINT (12.6615 42.5806)
CO2,IT.CAED/060661001.FACILITY,Enel Produzione S.p.A.,Enel Produzione S.p.A. - IMPIANTO TERMOELETTRICO DI PIETRAFITTA,IT,ITI21,Perugia,PIEGARO,42.9946,12.2003,1(c),Thermal power stations and other combustion installations,2023,206252998.1,C,Calculated: calculation method used,1,206252.9981,POINT (12.2003 42.9946)
CO2,IT.CAED/751002001.FACILITY,Italcementi SpA,Italcementi di  Matera,IT,ITF52,Matera,MATERA,40.6753,16.6569,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,390621000,C,Calculated: calculation method used,1,390621,POINT (16.6569 40.6753)
CO2,IT.CAED/801461001.FACILITY,TIRRENO POWER S.p.A.,CENTRALE NAPOLI LEVANTE,IT,ITF33,Napoli,NAPOLI,40.834,14.301,1(c),Thermal power stations and other combustion installations,2023,243867447.9,C,Calculated: calculation method used,1,243867.4479,POINT (14.301 40.834)
CO2,IT.CAED/850222001.FACILITY,Cementeria Costantinopoli srl,Cementeria Costantinopoli srl,IT,ITF51,Potenza,Barile,40.9497,15.6736,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,246153960,C,Calculated: calculation method used,1,246153.96,POINT (15.6736 40.9497)
CO2,IT.CAED/800112001.FACILITY,A2A AMBIENTE S.P.A.,TERMOVALORIZZATORE DI ACERRA,IT,ITF33,Napoli,ACERRA,40.9667,14.3883,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,393166267.1,M,Measured: analytical method used,1,393166.2671,POINT (14.3883 40.9667)
CO2,IT.CAED/810301001.FACILITY,SET S.p.A.,SET S.p.A.,IT,ITF31,Caserta,TEVEROLA,41.0088,14.2297,1(c),Thermal power stations and other combustion installations,2023,256910000,C,Calculated: calculation method used,1,256910,POINT (14.2297 41.0088)
CO2,IT.CAED/810561001.FACILITY,Calenia Energia S.p.A.,Calenia Energia S.p.A.,IT,ITF31,Caserta,SPARANISE,41.1774,14.1129,1(c),Thermal power stations and other combustion installations,2023,522624000,M,Measured: analytical method used,1,522624,POINT (14.1129 41.1774)
CO2,IT.CAED/710282001.FACILITY,AGRITRE SRL,IMPIANTO A BIOMASSE AGRITRE,IT,ITF46,Foggia,SANT'AGATA DI PUGLIA,41.197708,15.423906,1(c),Thermal power stations and other combustion installations,2023,181920000,M,Measured: analytical method used,1,181920,POINT (15.423906 41.197708)
CO2,IT.CAED/710241001.FACILITY,Edison S.p.A.,CENTRALE TERMOELETTRICA DI CANDELA,IT,ITF46,Foggia,CANDELA,41.2018,15.4759,1(c),Thermal power stations and other combustion installations,2023,393501000,C,Calculated: calculation method used,1,393501,POINT (15.4759 41.2018)
CO2,IT.CAED/761212002.FACILITY,BUZZI UNICEM SPA,CEMENTERIA DI BARLETTA,IT,ITF48,Barletta-Andria-Trani,Barletta,41.3167,16.2892,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,326744860,C,Calculated: calculation method used,1,326744.86,POINT (16.2892 41.3167)
CO2,IT.CAED/810501001.FACILITY,Edison Spa,Centrale termoelettrica di Presenzano,IT,ITF31,Caserta,Presenzano,41.3774,14.1132,1(c),Thermal power stations and other combustion installations,2023,301093000,C,Calculated: calculation method used,1,301093,POINT (14.1132 41.3774)
CO2,IT.CAED/030402001.FACILITY,Acea Ambiente S.r.l.,Unità Locale 3 - Impianto di Termovalorizzazione rifiuti non pericolosi.,IT,ITI45,Frosinone,SAN VITTORE DEL LAZIO,41.4375,13.8971,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,380667000,C,Calculated: calculation method used,1,380667,POINT (13.8971 41.4375)
CO2,IT.CAED/860782001.FACILITY,COLACEM S.P.A.,COLACEM S.P.A.,IT,ITF21,Isernia,SESTO CAMPANO,41.4456,14.0658,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,689345000,C,Calculated: calculation method used,1,689345,POINT (14.0658 41.4456)
CO2,IT.CAED/860772001.FACILITY,HERAMBIENTE S.P.A.,TERMOVALORIZZATORE CCS POZZILLI,IT,ITF21,Isernia,POZZILLI,41.5136,14.1103,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,123417003.1,M,Measured: analytical method used,1,123417.00309999999,POINT (14.1103 41.5136)
CO2,IT.CAED/860391001.FACILITY,Sorgenia Power S.p.A.,CENTRALE A CICLO COMBINATO DI TERMOLI,IT,ITF22,Campobasso,TERMOLI,41.9372,15.0005,1(c),Thermal power stations and other combustion installations,2023,174340785.6,C,Calculated: calculation method used,1,174340.7856,POINT (15.0005 41.9372)
CO2,IT.CAED/660521001.FACILITY,A2A gencogas S.p.A.,CENTRALE DI GISSI,IT,ITF14,Chieti,GISSI,42.0497,14.5638,1(c),Thermal power stations and other combustion installations,2023,451843000,C,Calculated: calculation method used,1,451843,POINT (14.5638 42.0497)
CO2,HR.CAED/000000051.FACILITY,CEMEX HRVATSKA D.D.,"TVORNICA CEMENTA ""SVETI KAJO""",HR,HR035,Splitsko-dalmatinska županija,Solin,43.5392,16.46418,3(c)(i),Installations for the production of cement clinker in rotary kilns,2023,198000000,C,Calculated: calculation method used,1,198000,POINT (16.46418 43.5392)
