dataset,source_id,source_name,subsector,emissions_tco2,lat,lon,Remark,Link
EEA,ES.CAED/003036000.FACILITY,CEMENTOS PORTLAND VALDERRIVAS (SANTA MARGARIDA I ELS MONJOS),3(c)(i),928000,41.314665,1.663019,,
EEA,IT.CAED/290102006.FACILITY,BUZZI UNICEM S.p.A.,3(c),488155.336,44.7667,9.81,,
EEA,FR.CAED/7444.FACILITY,VICAT,3(c)(i),434000,43.76863,7.33352,,
EEA,IT.CAED/120172001.FACILITY,BUZZI UNICEM SPA,3(c),700973.36,44.2833,7.5,,
EEA,FR.CAED/7420.FACILITY,ZEPHIRE,5(b),201000,43.13648,5.93276,,
EEA,FR.CAED/7945.FACILITY,EVERÉ SAS,5(b),312000,43.42011,4.8602,,
EEA,FR.CAED/7788.FACILITY,LAFARGE CIMENTS,3(c)(i),226000,43.42341,5.39075,,
EEA,IT.CAED/291222003.FACILITY,INDUSTRIA CEMENTI GIOVANNI ROSSI S.P.A.,3(c),330208,45.0497,9.7186,,
EEA,IT.CAED/270202001.FACILITY,LOMELLINA ENERGIA,5(b),254107,45.2804,8.7776,,
EEA,IT.CAED/201532001.FACILITY,Impianto di termovalorizzazione Silla 2,5(b),277838.329,45.5042,9.0706,,
EEA,IT.CAED/240332003.FACILITY,HEIDELBERG MATERIALS ITALIA CEMENTI S.p.A  (EX   ITALCEMENTI CEMENTERIA DI CALUSCO D`ADDA),3(c),722839,45.6847,9.4667,,
EEA,IT.CAED/210202005.FACILITY,Holcim (Italia) S.p.A. - unità produttiva di Ternate,3(c),475942,45.7794,8.6794,,
EEA,IT.CAED/240122001.FACILITY,UNICALCE S.P.A. - STABILIMENTO DI VAL BREMBILLA,3(c),231572,45.7886,9.6261,,
EEA,IT.CAED/210322001.FACILITY,CONFIDENTIAL,3(c),494523,45.8872,8.6664,,
EEA,ES.CAED/000296000.FACILITY,CEMENTOS MOLINS INDUSTRIAL (SANT VICENÇ DELS HORTS),3(c)(i),905000,41.408723,1.999262,,
EEA,ES.CAED/004857000.FACILITY,PLANTA DE VALORITZACIO ENERGETICA DE SANT ADRIA DE BESOS,5(b),323000,41.419171,2.229837,,
EEA,ES.CAED/002585000.FACILITY,"CEMEX ESPAÑA OPERACIONES, S.L.U. - PLANTA DE MORATA",3(c)(i),284000,41.475622,-1.488365,,
EEA,ES.CAED/000144000.FACILITY,FÁBRICA DE MONTCADA (LAFARGEHOLCIM ESPAÑA SAU),3(c)(i),424000,41.477659,2.186544,,
EEA,ES.CAED/000132000.FACILITY,"TIRME,S.A. COMPLEJO DE TRATAMIENTO INTEGRAL DE RESIDUOS URBANOS DE SON REUS",5(b),560000,39.644351,2.681217,,
EEA,FR.CAED/8921.FACILITY,LAFARGE CIMENTS,3(c)(i),454000,43.02208,3.0325,,
EEA,FR.CAED/8958.FACILITY,HEIDELBERG MATERIALS FRANCE CIMENTS,3(c)(i),391000,43.79239,4.53224,,
EEA,FR.CAED/10017.FACILITY,LAFARGE CIMENTS,3(c)(i),439000,43.19431,0.99741,,
EEA,FR.CAED/5097.FACILITY,LAFARGE CIMENTS,3(c)(i),591000,44.52186,4.68728,,
Climate Trace,42547371,National Cement New Beni Suef Cement Plant,cement,326799.065,29.01697429,31.20241976,,
Climate Trace,1896673,Arabian Cement Attaka Plant,cement,264301.5464,29.79781161,32.14794417,,
Climate Trace,1896683,Lafarge Attaka Cement Plant,cement,205144.8825,29.80615097,32.08690086,,
Climate Trace,1567071,Isdemir Payas steel plant,iron-and-steel,595462.3048467381,36.73573235,36.20948348,"?sdemir, one of OYAK Mining Metallurgy companies, is the third largest integrated iron and steel plant in Turkey by date of establishment and the largest integrated iron and steel plant by long product production capacity. With its 3.5 million tonnes/year hot rolling capacity, which was commissioned in 2008, ?sdemir is Turkey's only and largest integrated facility producing long and flat products at the same time.","https://www.isdemir.com.tr/en/corporate/corporate1
"
Climate Trace,32439220,Selçuklu Cement Plant,cement,312559.6390606654,37.93964839,32.53570564,,
Climate Trace,1566891,Acciaierie d'Italia Taranto steel plant,iron-and-steel,1035369.8630136984,40.5074532,17.2095911,"Acciaierie d'Italia is the first Italian steel group. The Taranto plant is the sole in Italy with integrated cycle and is fed by raw materials through 4 lease facilities in the Taranto harbor. The fleet, managed by ADI Servizi Marittimi and boasting 1 cargo vessel, 4 pusher boats and 8 barges, is also used for transport services to the Genoa site and from there to Novi Ligure, Racconigi, Legnago and Paderno Dugnano.",https://www.acciaierieditalia.com/en/company/about-us/
